all print will write to path record/postgresql/TPCH/execute_sql
====================start time: 2022-08-09-11:35:22====================
read 220 queries from ./db_benchmark_datasets/TPCH
try to load plan latency dict
load plan latency dict failed
3/220 query, 19_6.sql the 24 hint set, execute latency 4.06589s, current 19 unique plans
3/220 query, 19_6.sql the 25 hint set, execute latency 4.06589s, current 19 unique plans
3/220 query, 19_6.sql the 26 hint set, execute latency 4.06589s, current 19 unique plans
3/220 query, 19_6.sql the 27 hint set, execute latency 15.85182s, current 20 unique plans
3/220 query, 19_6.sql the 28 hint set, execute latency 15.85182s, current 20 unique plans
3/220 query, 19_6.sql the 29 hint set, execute latency 5.01921s, current 21 unique plans
3/220 query, 19_6.sql the 30 hint set, execute latency 5.01921s, current 21 unique plans
3/220 query, 19_6.sql the 31 hint set, execute latency 350.33002s, current 22 unique plans
3/220 query, 19_6.sql the 32 hint set, execute latency 350.47892s, current 23 unique plans
3/220 query, 19_6.sql the 33 hint set, execute latency 15.85182s, current 23 unique plans
3/220 query, 19_6.sql the 34 hint set, execute latency 15.85182s, current 23 unique plans
3/220 query, 19_6.sql the 35 hint set, execute latency 5.01921s, current 23 unique plans
3/220 query, 19_6.sql the 36 hint set, execute latency 5.01921s, current 23 unique plans
3/220 query, 19_6.sql the 37 hint set, execute latency 350.33002s, current 23 unique plans
3/220 query, 19_6.sql the 38 hint set, execute latency 350.47892s, current 23 unique plans
3/220 query, 19_6.sql the 39 hint set, execute latency 15.85182s, current 23 unique plans
3/220 query, 19_6.sql the 40 hint set, execute latency 15.85182s, current 23 unique plans
3/220 query, 19_6.sql the 41 hint set, execute latency 5.01921s, current 23 unique plans
3/220 query, 19_6.sql the 42 hint set, execute latency 5.01921s, current 23 unique plans
3/220 query, 19_6.sql the 43 hint set, execute latency 350.33002s, current 23 unique plans
3/220 query, 19_6.sql the 44 hint set, execute latency 350.47892s, current 23 unique plans
3/220 query, 19_6.sql the 45 hint set, execute latency 5.01921s, current 23 unique plans
3/220 query, 19_6.sql the 46 hint set, execute latency 5.01921s, current 23 unique plans
3/220 query, 19_6.sql the 47 hint set, execute latency 350.47892s, current 23 unique plans
3/220 query, 19_6.sql the 48 hint set, execute latency 4.06589s, current 23 unique plans
execute finished, the plans and exe latency saved
4/220 query, 13_4.sql the 0 hint set, execute latency 26.55948s, current 24 unique plans
4/220 query, 13_4.sql the 1 hint set, execute latency 26.55948s, current 24 unique plans
4/220 query, 13_4.sql the 2 hint set, execute latency 17.55251s, current 25 unique plans
4/220 query, 13_4.sql the 3 hint set, execute latency 17.55251s, current 25 unique plans
4/220 query, 13_4.sql the 4 hint set, execute latency 6.26806s, current 26 unique plans
4/220 query, 13_4.sql the 5 hint set, execute latency 26.55948s, current 26 unique plans
4/220 query, 13_4.sql the 6 hint set, execute latency 6.26806s, current 26 unique plans
4/220 query, 13_4.sql the 7 hint set, execute latency 6.26806s, current 26 unique plans
4/220 query, 13_4.sql the 8 hint set, execute latency 17.55251s, current 26 unique plans
4/220 query, 13_4.sql the 9 hint set, execute latency 17.55251s, current 26 unique plans
4/220 query, 13_4.sql the 10 hint set, execute latency 6.26806s, current 26 unique plans
4/220 query, 13_4.sql the 11 hint set, execute latency 6.26806s, current 26 unique plans
4/220 query, 13_4.sql the 12 hint set, execute latency 26.55948s, current 26 unique plans
4/220 query, 13_4.sql the 13 hint set, execute latency 6.26806s, current 26 unique plans
4/220 query, 13_4.sql the 14 hint set, execute latency 6.26806s, current 26 unique plans
4/220 query, 13_4.sql the 15 hint set, execute latency 26.55948s, current 26 unique plans
4/220 query, 13_4.sql the 16 hint set, execute latency 17.55251s, current 26 unique plans
4/220 query, 13_4.sql the 17 hint set, execute latency 17.55251s, current 26 unique plans
4/220 query, 13_4.sql the 18 hint set, execute latency 6.26806s, current 26 unique plans
4/220 query, 13_4.sql the 19 hint set, execute latency 6.26806s, current 26 unique plans
4/220 query, 13_4.sql the 20 hint set, execute latency 26.55948s, current 26 unique plans
4/220 query, 13_4.sql the 21 hint set, execute latency 6.26806s, current 26 unique plans
4/220 query, 13_4.sql the 22 hint set, execute latency 6.26806s, current 26 unique plans
4/220 query, 13_4.sql the 23 hint set, execute latency 6.26806s, current 26 unique plans
4/220 query, 13_4.sql the 24 hint set, execute latency 6.26806s, current 26 unique plans
4/220 query, 13_4.sql the 25 hint set, execute latency 6.26806s, current 26 unique plans
4/220 query, 13_4.sql the 26 hint set, execute latency 6.26806s, current 26 unique plans
4/220 query, 13_4.sql the 27 hint set, execute latency 17.55251s, current 26 unique plans
4/220 query, 13_4.sql the 28 hint set, execute latency 17.55251s, current 26 unique plans
4/220 query, 13_4.sql the 29 hint set, execute latency 16.30524s, current 27 unique plans
4/220 query, 13_4.sql the 30 hint set, execute latency 16.30524s, current 27 unique plans
exe error
4/220 query, 13_4.sql the 31 hint set, execute latency 3001.06860s, current 28 unique plans
exe error
4/220 query, 13_4.sql the 32 hint set, execute latency 3001.06948s, current 29 unique plans
4/220 query, 13_4.sql the 33 hint set, execute latency 17.55251s, current 29 unique plans
4/220 query, 13_4.sql the 34 hint set, execute latency 17.55251s, current 29 unique plans
4/220 query, 13_4.sql the 35 hint set, execute latency 16.30524s, current 29 unique plans
4/220 query, 13_4.sql the 36 hint set, execute latency 16.30524s, current 29 unique plans
4/220 query, 13_4.sql the 37 hint set, execute latency 3001.06860s, current 29 unique plans
4/220 query, 13_4.sql the 38 hint set, execute latency 3001.06948s, current 29 unique plans
4/220 query, 13_4.sql the 39 hint set, execute latency 17.55251s, current 29 unique plans
4/220 query, 13_4.sql the 40 hint set, execute latency 17.55251s, current 29 unique plans
4/220 query, 13_4.sql the 41 hint set, execute latency 16.30524s, current 29 unique plans
4/220 query, 13_4.sql the 42 hint set, execute latency 16.30524s, current 29 unique plans
4/220 query, 13_4.sql the 43 hint set, execute latency 3001.06860s, current 29 unique plans
4/220 query, 13_4.sql the 44 hint set, execute latency 3001.06948s, current 29 unique plans
4/220 query, 13_4.sql the 45 hint set, execute latency 16.30524s, current 29 unique plans
4/220 query, 13_4.sql the 46 hint set, execute latency 16.30524s, current 29 unique plans
4/220 query, 13_4.sql the 47 hint set, execute latency 3001.06948s, current 29 unique plans
4/220 query, 13_4.sql the 48 hint set, execute latency 6.26806s, current 29 unique plans
execute finished, the plans and exe latency saved
error
all print will write to path record/postgresql/TPCH/execute_sql
====================start time: 2022-08-10-08:32:50====================
read 220 queries from ./db_benchmark_datasets/TPCH
try to load plan latency dict
load plan latency dict failed
21_5.sql
all print will write to path record/postgresql/TPCH/execute_sql
====================start time: 2022-08-10-08:35:00====================
read 220 queries from ./db_benchmark_datasets/TPCH
try to load plan latency dict
load plan latency dict failed
all print will write to path record/postgresql/TPCH/execute_sql
====================start time: 2022-08-10-08:35:13====================
read 220 queries from ./db_benchmark_datasets/TPCH
try to load plan latency dict
load plan latency dict failed
['10_6.sql.plan', '19_6.sql.latency', '21_5.sql.plan', '19_6.sql.plan', '13_4.sql.plan', '13_4.sql.latency', '10_6.sql.latency', '21_5.sql.latency', 'execute_output.log'] 21_5.sql
21_5.sql
all print will write to path record/postgresql/TPCH/execute_sql
====================start time: 2022-08-10-08:37:05====================
read 220 queries from ./db_benchmark_datasets/TPCH
try to load plan latency dict
load plan latency dict failed
['10_6.sql.plan', '19_6.sql.latency', '21_5.sql.plan', '19_6.sql.plan', '13_4.sql.plan', '13_4.sql.latency', '10_6.sql.latency', '21_5.sql.latency', 'execute_output.log'] 21_5.sql
21_5.sql
all print will write to path record/postgresql/TPCH/execute_sql
====================start time: 2022-08-10-08:37:57====================
read 220 queries from ./db_benchmark_datasets/TPCH
try to load plan latency dict
load plan latency dict failed
['10_6', '19_6', '21_5', '19_6', '13_4', '13_4', '10_6', '21_5', 'execute_output'] 21_5
execute finished, the plans and exe latency saved
['10_6', '19_6', '21_5', '19_6', '13_4', '13_4', '10_6', '21_5', 'execute_output'] 10_6
execute finished, the plans and exe latency saved
['10_6', '19_6', '21_5', '19_6', '13_4', '13_4', '10_6', '21_5', 'execute_output'] 19_6
execute finished, the plans and exe latency saved
['10_6', '19_6', '21_5', '19_6', '13_4', '13_4', '10_6', '21_5', 'execute_output'] 13_4
execute finished, the plans and exe latency saved
['10_6', '19_6', '21_5', '19_6', '13_4', '13_4', '10_6', '21_5', 'execute_output'] 15_9
15_9.sql
hint to plan error
all print will write to path record/postgresql/TPCH/execute_sql
====================start time: 2022-08-10-08:39:38====================
read 220 queries from ./db_benchmark_datasets/TPCH
try to load plan latency dict
load plan latency dict failed
['10_6', '19_6', '21_5', '19_6', '13_4', '13_4', '10_6', '21_5', 'execute_output'] 21_5
execute finished, the plans and exe latency saved
['10_6', '19_6', '21_5', '19_6', '13_4', '13_4', '10_6', '21_5', 'execute_output'] 10_6
execute finished, the plans and exe latency saved
['10_6', '19_6', '21_5', '19_6', '13_4', '13_4', '10_6', '21_5', 'execute_output'] 19_6
execute finished, the plans and exe latency saved
['10_6', '19_6', '21_5', '19_6', '13_4', '13_4', '10_6', '21_5', 'execute_output'] 13_4
execute finished, the plans and exe latency saved
['10_6', '19_6', '21_5', '19_6', '13_4', '13_4', '10_6', '21_5', 'execute_output'] 15_9
15_9.sql
hint to plan error
all print will write to path record/postgresql/TPCH/execute_sql
====================start time: 2022-08-10-10:46:10====================
read 220 queries from ./db_benchmark_datasets/TPCH
try to load plan latency dict
load plan latency dict failed
execute finished, the plans and exe latency saved
execute finished, the plans and exe latency saved
execute finished, the plans and exe latency saved
execute finished, the plans and exe latency saved
21_3.sql
hint to plan error
all print will write to path record/postgresql/TPCH/execute_sql
====================start time: 2022-08-10-10:50:24====================
read 220 queries from ./db_benchmark_datasets/TPCH
try to load plan latency dict
load plan latency dict failed
execute finished, the plans and exe latency saved
execute finished, the plans and exe latency saved
execute finished, the plans and exe latency saved
execute finished, the plans and exe latency saved
5/210 query, 21_3.sql the 0 hint set, execute latency 65.17585s, current 1 unique plans
5/210 query, 21_3.sql the 1 hint set, execute latency 65.17585s, current 1 unique plans
5/210 query, 21_3.sql the 2 hint set, execute latency 67.98500s, current 2 unique plans
all print will write to path record/postgresql/TPCH/execute_sql
====================start time: 2022-08-10-11:59:21====================
read 220 queries from ./db_benchmark_datasets/TPCH
try to load plan latency dict
load plan latency dict failed
1/210 query, 21_5.sql the 0 hint set, execute latency 73.85570s, current 1 unique plans
1/210 query, 21_5.sql the 1 hint set, execute latency 73.85570s, current 1 unique plans
1/210 query, 21_5.sql the 2 hint set, execute latency 69.40240s, current 2 unique plans
exe error
1/210 query, 21_5.sql the 3 hint set, execute latency 3001.14860s, current 3 unique plans
1/210 query, 21_5.sql the 4 hint set, execute latency 21.75657s, current 4 unique plans
exe error
1/210 query, 21_5.sql the 5 hint set, execute latency 3001.30908s, current 5 unique plans
1/210 query, 21_5.sql the 6 hint set, execute latency 21.75657s, current 5 unique plans
1/210 query, 21_5.sql the 7 hint set, execute latency 21.75657s, current 5 unique plans
1/210 query, 21_5.sql the 8 hint set, execute latency 69.40240s, current 5 unique plans
1/210 query, 21_5.sql the 9 hint set, execute latency 3001.14860s, current 5 unique plans
1/210 query, 21_5.sql the 10 hint set, execute latency 21.75657s, current 5 unique plans
1/210 query, 21_5.sql the 11 hint set, execute latency 21.75657s, current 5 unique plans
1/210 query, 21_5.sql the 12 hint set, execute latency 3001.30908s, current 5 unique plans
1/210 query, 21_5.sql the 13 hint set, execute latency 21.75657s, current 5 unique plans
1/210 query, 21_5.sql the 14 hint set, execute latency 21.75657s, current 5 unique plans
1/210 query, 21_5.sql the 15 hint set, execute latency 73.85570s, current 5 unique plans
1/210 query, 21_5.sql the 16 hint set, execute latency 69.40240s, current 5 unique plans
1/210 query, 21_5.sql the 17 hint set, execute latency 3001.14860s, current 5 unique plans
1/210 query, 21_5.sql the 18 hint set, execute latency 21.75657s, current 5 unique plans
1/210 query, 21_5.sql the 19 hint set, execute latency 21.75657s, current 5 unique plans
1/210 query, 21_5.sql the 20 hint set, execute latency 3001.30908s, current 5 unique plans
1/210 query, 21_5.sql the 21 hint set, execute latency 21.75657s, current 5 unique plans
1/210 query, 21_5.sql the 22 hint set, execute latency 21.75657s, current 5 unique plans
1/210 query, 21_5.sql the 23 hint set, execute latency 21.75657s, current 5 unique plans
1/210 query, 21_5.sql the 24 hint set, execute latency 21.75657s, current 5 unique plans
1/210 query, 21_5.sql the 25 hint set, execute latency 21.75657s, current 5 unique plans
1/210 query, 21_5.sql the 26 hint set, execute latency 21.75657s, current 5 unique plans
1/210 query, 21_5.sql the 27 hint set, execute latency 106.00163s, current 6 unique plans
exe error
1/210 query, 21_5.sql the 28 hint set, execute latency 3001.23446s, current 7 unique plans
exe error
1/210 query, 21_5.sql the 29 hint set, execute latency 3001.22335s, current 8 unique plans
1/210 query, 21_5.sql the 30 hint set, execute latency 113.72036s, current 9 unique plans
exe error
1/210 query, 21_5.sql the 31 hint set, execute latency 3001.07582s, current 10 unique plans
exe error
1/210 query, 21_5.sql the 32 hint set, execute latency 3001.12570s, current 11 unique plans
1/210 query, 21_5.sql the 33 hint set, execute latency 106.00163s, current 11 unique plans
1/210 query, 21_5.sql the 34 hint set, execute latency 3001.23446s, current 11 unique plans
1/210 query, 21_5.sql the 35 hint set, execute latency 3001.22335s, current 11 unique plans
1/210 query, 21_5.sql the 36 hint set, execute latency 113.72036s, current 11 unique plans
1/210 query, 21_5.sql the 37 hint set, execute latency 3001.07582s, current 11 unique plans
1/210 query, 21_5.sql the 38 hint set, execute latency 3001.12570s, current 11 unique plans
1/210 query, 21_5.sql the 39 hint set, execute latency 106.00163s, current 11 unique plans
1/210 query, 21_5.sql the 40 hint set, execute latency 3001.23446s, current 11 unique plans
1/210 query, 21_5.sql the 41 hint set, execute latency 3001.22335s, current 11 unique plans
1/210 query, 21_5.sql the 42 hint set, execute latency 113.72036s, current 11 unique plans
1/210 query, 21_5.sql the 43 hint set, execute latency 3001.07582s, current 11 unique plans
1/210 query, 21_5.sql the 44 hint set, execute latency 3001.12570s, current 11 unique plans
1/210 query, 21_5.sql the 45 hint set, execute latency 3001.22335s, current 11 unique plans
1/210 query, 21_5.sql the 46 hint set, execute latency 113.72036s, current 11 unique plans
